"REF_DATE","GEO","DGUID","Age (15A)","Gender (3)","Statistics (3)","Main mode of commuting (11A)","Commuting destination (5)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Total - Commuting destination","","0","units","0","","4613.2.1.1.7.1","100","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.7.2","35","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.7.3","55","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Sustainable transportation","Total - Commuting destination","","0","units","0","","4613.2.1.1.8.1","190","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.8.2","140","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.8.3","20","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4613.2.1.1.8.4","20","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different province or territory","","0","units","0","","4613.2.1.1.8.5","15","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Public transit","Total - Commuting destination","","0","units","0","","4613.2.1.1.9.1","50","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Public transit","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.9.2","30","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Public transit","Commute to a different province or territory","","0","units","0","","4613.2.1.1.9.5","10","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Active transportation","Total - Commuting destination","","0","units","0","","4613.2.1.1.10.1","140","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Active transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.10.2","110","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Active transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.10.3","15","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Active transportation","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4613.2.1.1.10.4","15","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Other method","Total - Commuting destination","","0","units","0","","4613.2.1.1.11.1","10","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Other method","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.11.3","10","","","","0"
"2021","Okanagan-Similkameen","2021A00035907","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Total - Commuting destination","","0","units","0","","4627.2.1.1.1.1","3250","","","","0"
